
minMaxNorm_0, 8, [3784 1026 2169 2502 1098 3365 1528 1401], ['relu', 'relu', 'elu', 'tanh', 'relu', 'elu', 'tanh', 'tanh'], [0, 0.5, 0.1, 0.5, 0.2, 0.4, 0, 0], [1, 1, 0, 1, 0, 0, 1, 1], 1024

minMaxNorm_1, 3, [3609 1713 1122], ['elu', 'elu', 'elu'], [0.2, 0, 0.2], [1, 1, 1], 4096

minMaxNorm_2, 9, [1630 2938 1111 1914 2662 2590 3276 2699 3096], ['tanh', 'tanh', 'elu', 'tanh', 'elu', 'elu', 'tanh', 'elu', 'relu'], [0.2, 0, 0.4, 0.5, 0.4, 0.1, 0, 0.2, 0.2], [1, 1, 1, 0, 0, 1, 1, 0, 0], 8192

minMaxNorm_3, 7, [2355 1390 3254 1593 2088 2279 3777], ['relu', 'tanh', 'elu', 'elu', 'tanh', 'tanh', 'relu'], [0.2, 0.4, 0.5, 0.4, 0.5, 0.3, 0.2], [0, 1, 1, 1, 0, 0, 0], 4096

minMaxNorm_4, 9, [3228 1387 1642 2764 3689 1994 1206 2348 2871], ['tanh', 'tanh', 'relu', 'tanh', 'relu', 'relu', 'relu', 'elu', 'elu'], [0.5, 0.2, 0.2, 0, 0.4, 0.1, 0.4, 0.4, 0.3], [1, 0, 0, 0, 1, 0, 1, 0, 1], 1024

minMaxNorm_5, 4, [2120 2372 1727 2055], ['relu', 'tanh', 'relu', 'elu'], [0.4, 0.1, 0.1, 0.2], [0, 0, 0, 0], 2048

minMaxNorm_6, 3, [3016 3849 2232], ['tanh', 'elu', 'elu'], [0.1, 0, 0.4], [1, 1, 0], 32768

minMaxNorm_7, 3, [1826 2311 2970], ['tanh', 'relu', 'tanh'], [0.1, 0.5, 0.4], [1, 0, 1], 2048

minMaxNorm_8, 7, [2083 3049 1094 1286 2308 1644 2268], ['relu', 'relu', 'relu', 'relu', 'elu', 'elu', 'elu'], [0.2, 0.1, 0.2, 0.1, 0.2, 0.4, 0.2], [0, 0, 0, 1, 1, 1, 1], 2048

minMaxNorm_9, 7, [1807 2585 2121 3547 3696 2153 2069], ['relu', 'tanh', 'tanh', 'tanh', 'relu', 'elu', 'tanh'], [0.1, 0.2, 0.3, 0.2, 0.2, 0.1, 0], [0, 1, 0, 0, 1, 1, 1], 2048

minMaxNorm_10, 8, [1419 1655 1488 1761 2161 1890 3313 2227], ['relu', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'relu', 'tanh'], [0.4, 0, 0.2, 0.3, 0.5, 0.3, 0, 0.2], [1, 0, 0, 1, 0, 1, 0, 1], 16384

minMaxNorm_15, 7, [2484 2634 3862 2672 2371 1873 3699], ['relu', 'elu', 'elu', 'elu', 'tanh', 'tanh', 'tanh'], [0, 0.1, 0.3, 0.1, 0.3, 0.3, 0.5], [1, 1, 0, 0, 0, 0, 1], 8192

minMaxNorm_17, 3, [1613 1134 1728], ['relu', 'relu', 'tanh'], [0.4, 0.2, 0.5], [1, 1, 1], 16384

minMaxNorm_11, 7, [1099 1273 1220 3328 2877 1325 2220], ['elu', 'elu', 'elu', 'relu', 'tanh', 'relu', 'elu'], [0.5, 0.4, 0.5, 0, 0.1, 0.1, 0], [1, 1, 1, 0, 1, 1, 1], 4096

minMaxNorm_16, 6, [2625 2998 2575 2155 3402 1316], ['tanh', 'relu', 'tanh', 'elu', 'tanh', 'relu'], [0, 0.1, 0.2, 0.2, 0, 0.3], [1, 1, 0, 0, 1, 0], 32768

minMaxNorm_13, 3, [2215 3702 1872], ['elu', 'relu', 'tanh'], [0, 0.2, 0.4], [1, 0, 0], 2048

minMaxNorm_14, 10, [2388 3054 3247 1286 3549 2197 3566 1219 3571 1956], ['relu', 'tanh', 'elu', 'relu', 'tanh', 'relu', 'tanh', 'relu', 'relu', 'elu'], [0.2, 0.4, 0.3, 0.2, 0, 0.5, 0, 0.1, 0.2, 0.5], [1, 1, 1, 1, 1, 0, 1, 0, 1, 1], 1024

minMaxNorm_12, 7, [3755 3582 2789 3587 2416 3115 3868], ['relu', 'relu', 'relu', 'relu', 'tanh', 'tanh', 'elu'], [0.4, 0.5, 0.1, 0.1, 0.2, 0, 0], [0, 0, 0, 1, 1, 0, 1], 32768

minMaxNorm_18, 3, [2520 3016 1643], ['relu', 'relu', 'relu'], [0.4, 0.4, 0.5], [1, 0, 0], 8192

minMaxNorm_19, 3, [1623 3362 3407], ['tanh', 'relu', 'elu'], [0.2, 0.4, 0.2], [0, 1, 1], 1024

minMaxNorm_20, 7, [1610 3949 1623 1330 2937 1216 1461], ['relu', 'relu', 'elu', 'elu', 'elu', 'elu', 'relu'], [0.3, 0, 0, 0.3, 0.4, 0, 0.1], [0, 0, 1, 0, 0, 0, 1], 4096
